timestep,run_type,layer,ce_value,run_name,column_name
2000,distill,2,4.997346973419189,distill_val_run_2000_20250918_131127,summary/val/unet2_vggtpoint_map/cross_entropy
2000,naive,2,5.4742673397064205,naive_val_run_2000_20250918_165548,summary/val/unet2_vggtpoint_map/cross_entropy
2000,distill,4,4.173301804065704,distill_val_run_2000_20250918_131127,summary/val/unet4_vggtpoint_map/cross_entropy
2000,naive,4,4.262142837047577,naive_val_run_2000_20250918_165548,summary/val/unet4_vggtpoint_map/cross_entropy
2000,distill,6,7.714207196235657,distill_val_run_2000_20250918_131127,summary/val/unet6_vggtpoint_map/cross_entropy
2000,naive,6,7.688028573989868,naive_val_run_2000_20250918_165548,summary/val/unet6_vggtpoint_map/cross_entropy
2000,distill,8,3.653418242931366,distill_val_run_2000_20250918_131127,summary/val/unet8_vggtpoint_map/cross_entropy
2000,naive,8,3.825418710708618,naive_val_run_2000_20250918_165548,summary/val/unet8_vggtpoint_map/cross_entropy
2000,distill,10,4.359424662590027,distill_val_run_2000_20250918_131127,summary/val/unet10_vggtpoint_map/cross_entropy
2000,naive,10,4.880148363113404,naive_val_run_2000_20250918_165548,summary/val/unet10_vggtpoint_map/cross_entropy
2000,distill,12,4.455012702941895,distill_val_run_2000_20250918_131127,summary/val/unet12_vggtpoint_map/cross_entropy
2000,naive,12,5.041031455993652,naive_val_run_2000_20250918_165548,summary/val/unet12_vggtpoint_map/cross_entropy
4000,distill,2,4.828816652297974,distill_val_run_4000_20250918_133950,summary/val/unet2_vggtpoint_map/cross_entropy
4000,naive,2,5.276945877075195,naive_val_run_4000_20250918_171925,summary/val/unet2_vggtpoint_map/cross_entropy
4000,distill,4,4.306073367595673,distill_val_run_4000_20250918_133950,summary/val/unet4_vggtpoint_map/cross_entropy
4000,naive,4,4.029130399227142,naive_val_run_4000_20250918_171925,summary/val/unet4_vggtpoint_map/cross_entropy
