timestep,run_type,layer,ce_value,run_name,column_name
16000,naive,4,4.20250414609909,naive_val_run_16000_20250918_185751,summary/val/unet4_vggtpoint_map/cross_entropy
16000,distill,6,7.353903460502624,distill_val_run_16000_20250918_210049,summary/val/unet6_vggtpoint_map/cross_entropy
16000,naive,6,6.975987267494202,naive_val_run_16000_20250918_185751,summary/val/unet6_vggtpoint_map/cross_entropy
16000,distill,8,3.7178983211517336,distill_val_run_16000_20250918_210049,summary/val/unet8_vggtpoint_map/cross_entropy
16000,naive,8,3.711584055423737,naive_val_run_16000_20250918_185751,summary/val/unet8_vggtpoint_map/cross_entropy
16000,distill,10,4.177621603012085,distill_val_run_16000_20250918_210049,summary/val/unet10_vggtpoint_map/cross_entropy
16000,naive,10,4.232224249839783,naive_val_run_16000_20250918_185751,summary/val/unet10_vggtpoint_map/cross_entropy
16000,distill,12,4.394891691207886,distill_val_run_16000_20250918_210049,summary/val/unet12_vggtpoint_map/cross_entropy
16000,naive,12,4.359860849380493,naive_val_run_16000_20250918_185751,summary/val/unet12_vggtpoint_map/cross_entropy
20000,distill,2,4.543082118034363,distill_val_run_20000_20250918_203216,summary/val/unet2_vggtpoint_map/cross_entropy
20000,naive,2,5.029589939117432,naive_val_run_20000_20250918_192251,summary/val/unet2_vggtpoint_map/cross_entropy
20000,distill,4,4.359137105941772,distill_val_run_20000_20250918_203216,summary/val/unet4_vggtpoint_map/cross_entropy
20000,naive,4,4.281132364273072,naive_val_run_20000_20250918_192251,summary/val/unet4_vggtpoint_map/cross_entropy
20000,distill,6,7.070522427558899,distill_val_run_20000_20250918_203216,summary/val/unet6_vggtpoint_map/cross_entropy
20000,naive,6,7.03307318687439,naive_val_run_20000_20250918_192251,summary/val/unet6_vggtpoint_map/cross_entropy
20000,distill,8,3.95356205701828,distill_val_run_20000_20250918_203216,summary/val/unet8_vggtpoint_map/cross_entropy
20000,naive,8,3.885770344734192,naive_val_run_20000_20250918_192251,summary/val/unet8_vggtpoint_map/cross_entropy
20000,distill,10,4.302768445014953,distill_val_run_20000_20250918_203216,summary/val/unet10_vggtpoint_map/cross_entropy
20000,naive,10,4.143915700912475,naive_val_run_20000_20250918_192251,summary/val/unet10_vggtpoint_map/cross_entropy
20000,distill,12,4.4979626655578615,distill_val_run_20000_20250918_203216,summary/val/unet12_vggtpoint_map/cross_entropy
20000,naive,12,4.443252396583557,naive_val_run_20000_20250918_192251,summary/val/unet12_vggtpoint_map/cross_entropy
